"customer_id","store_id","first_name","last_name","email","address_id","activebool","create_date","last_update","active"
23,2,"Sarah","Lewis","sarah.lewis@sakilacustomer.org",27,True,"2006-02-14","2013-05-26 14:49:45.738",1
24,2,"Kimberly","Lee","kimberly.lee@sakilacustomer.org",28,True,"2006-02-14","2013-05-26 14:49:45.738",1
32,1,"Amy","Lopez","amy.lopez@sakilacustomer.org",36,True,"2006-02-14","2013-05-26 14:49:45.738",1
86,2,"Jacqueline","Long","jacqueline.long@sakilacustomer.org",90,True,"2006-02-14","2013-05-26 14:49:45.738",1
182,1,"Renee","Lane","renee.lane@sakilacustomer.org",186,True,"2006-02-14","2013-05-26 14:49:45.738",1
192,1,"Laurie","Lawrence","laurie.lawrence@sakilacustomer.org",196,True,"2006-02-14","2013-05-26 14:49:45.738",1
200,2,"Jeanne","Lawson","jeanne.lawson@sakilacustomer.org",204,True,"2006-02-14","2013-05-26 14:49:45.738",1
226,2,"Maureen","Little","maureen.little@sakilacustomer.org",230,True,"2006-02-14","2013-05-26 14:49:45.738",1
235,1,"Jackie","Lynch","jackie.lynch@sakilacustomer.org",239,True,"2006-02-14","2013-05-26 14:49:45.738",1
241,2,"Heidi","Larson","heidi.larson@sakilacustomer.org",245,True,"2006-02-14","2013-05-26 14:49:45.738",0
273,2,"Priscilla","Lowe","priscilla.lowe@sakilacustomer.org",278,True,"2006-02-14","2013-05-26 14:49:45.738",1
286,1,"Velma","Lucas","velma.lucas@sakilacustomer.org",291,True,"2006-02-14","2013-05-26 14:49:45.738",1
292,2,"Misty","Lambert","misty.lambert@sakilacustomer.org",297,True,"2006-02-14","2013-05-26 14:49:45.738",1
314,1,"George","Linton","george.linton@sakilacustomer.org",319,True,"2006-02-14","2013-05-26 14:49:45.738",1
361,2,"Lawrence","Lawton","lawrence.lawton@sakilacustomer.org",366,True,"2006-02-14","2013-05-26 14:49:45.738",1
373,1,"Louis","Leone","louis.leone@sakilacustomer.org",378,True,"2006-02-14","2013-05-26 14:49:45.738",1
420,1,"Jacob","Lance","jacob.lance@sakilacustomer.org",425,True,"2006-02-14","2013-05-26 14:49:45.738",1
438,1,"Barry","Lovelace","barry.lovelace@sakilacustomer.org",443,True,"2006-02-14","2013-05-26 14:49:45.738",1
478,1,"Lewis","Lyman","lewis.lyman@sakilacustomer.org",483,True,"2006-02-14","2013-05-26 14:49:45.738",1
555,1,"Dwight","Lombardi","dwight.lombardi@sakilacustomer.org",561,True,"2006-02-14","2013-05-26 14:49:45.738",1
578,2,"Willard","Lumpkin","willard.lumpkin@sakilacustomer.org",584,True,"2006-02-14","2013-05-26 14:49:45.738",1
579,2,"Daryl","Larue","daryl.larue@sakilacustomer.org",585,True,"2006-02-14","2013-05-26 14:49:45.738",1
