"type","first_name","last_name","email"
"customer","Aaron","Selby","aaron.selby@sakilacustomer.org"
"customer","Adam","Gooch","adam.gooch@sakilacustomer.org"
"customer","Adrian","Clary","adrian.clary@sakilacustomer.org"
"customer","Agnes","Bishop","agnes.bishop@sakilacustomer.org"
"customer","Alan","Kahn","alan.kahn@sakilacustomer.org"
"customer","Albert","Crouse","albert.crouse@sakilacustomer.org"
"customer","Alberto","Henning","alberto.henning@sakilacustomer.org"
"customer","Alex","Gresham","alex.gresham@sakilacustomer.org"
"customer","Alexander","Fennell","alexander.fennell@sakilacustomer.org"
"customer","Alfred","Casillas","alfred.casillas@sakilacustomer.org"
"customer","Alfredo","Mcadams","alfredo.mcadams@sakilacustomer.org"
"customer","Alice","Stewart","alice.stewart@sakilacustomer.org"
"customer","Alicia","Mills","alicia.mills@sakilacustomer.org"
"customer","Allan","Cornish","allan.cornish@sakilacustomer.org"
"customer","Allen","Butterfield","allen.butterfield@sakilacustomer.org"
"customer","Allison","Stanley","allison.stanley@sakilacustomer.org"
"customer","Alma","Austin","alma.austin@sakilacustomer.org"
"customer","Alvin","Deloach","alvin.deloach@sakilacustomer.org"
"customer","Amanda","Carter","amanda.carter@sakilacustomer.org"
"customer","Amber","Dixon","amber.dixon@sakilacustomer.org"
"customer","Amy","Lopez","amy.lopez@sakilacustomer.org"
"customer","Ana","Bradley","ana.bradley@sakilacustomer.org"
"customer","Andre","Rapp","andre.rapp@sakilacustomer.org"
"customer","Andrea","Henderson","andrea.henderson@sakilacustomer.org"
"customer","Andrew","Purdy","andrew.purdy@sakilacustomer.org"
"customer","Andy","Vanhorn","andy.vanhorn@sakilacustomer.org"
"customer","Angel","Barclay","angel.barclay@sakilacustomer.org"
"customer","Angela","Hernandez","angela.hernandez@sakilacustomer.org"
"customer","Anita","Morales","anita.morales@sakilacustomer.org"
"customer","Ann","Evans","ann.evans@sakilacustomer.org"
"customer","Anna","Hill","anna.hill@sakilacustomer.org"
"customer","Anne","Powell","anne.powell@sakilacustomer.org"
"customer","Annette","Olson","annette.olson@sakilacustomer.org"
"customer","Annie","Russell","annie.russell@sakilacustomer.org"
"customer","Anthony","Schwab","anthony.schwab@sakilacustomer.org"
"customer","Antonio","Meek","antonio.meek@sakilacustomer.org"
"customer","April","Burns","april.burns@sakilacustomer.org"
"customer","Arlene","Harvey","arlene.harvey@sakilacustomer.org"
"customer","Armando","Gruber","armando.gruber@sakilacustomer.org"
"customer","Arnold","Havens","arnold.havens@sakilacustomer.org"
"customer","Arthur","Simpkins","arthur.simpkins@sakilacustomer.org"
"customer","Ashley","Richardson","ashley.richardson@sakilacustomer.org"
"customer","Audrey","Ray","audrey.ray@sakilacustomer.org"
"customer","Austin","Cintron","austin.cintron@sakilacustomer.org"
"customer","Barbara","Jones","barbara.jones@sakilacustomer.org"
"customer","Barry","Lovelace","barry.lovelace@sakilacustomer.org"
"customer","Beatrice","Arnold","beatrice.arnold@sakilacustomer.org"
"customer","Becky","Miles","becky.miles@sakilacustomer.org"
"customer","Ben","Easter","ben.easter@sakilacustomer.org"
"customer","Benjamin","Varney","benjamin.varney@sakilacustomer.org"
"customer","Bernard","Colby","bernard.colby@sakilacustomer.org"
